 "SucursalID","Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"S147","Queso AguaPura 333","020000076692","Embutidos","2025-03-02","AguaPura","137.67","11"
"S063","Crema Selecta 472","020000060197","Condimentos","2025-10-05","Selecta","30.28","496"
"S010","Cereal Gourmet GT 329","020000052179","Conservas","2027-04-03","Gourmet GT","146.71","168"
"S070","Arroz AguaPura 685","020000058864","Lacteos","2027-09-26","AguaPura","108.39","31"
"S046","Mayonesa NaturVida 147","020000062550","Lacteos","2027-07-12","NaturVida","138.83","401"
"S080","Pasta dental AguaPura 666","020000069866","Embutidos","2026-12-27","AguaPura","33.71","293"
"S078","Agua mineral BuenSabor 348","020000070807","Higiene","2027-09-08","BuenSabor","159.65","402"
"S051","Agua mineral NaturVida 878","020000042129","Bebidas","2024-12-15","NaturVida","149.32","17"
"S060","Cereal Delicias 751","020000011257","Higiene","2024-12-04","Delicias","121.91","197"
"S189","Agua mineral Nutrimax 206","020000036895","Limpieza","2026-04-03","Nutrimax","68.33","497"
"S016","Desodorante Nutrimax 195","020000015754","Condimentos","2026-03-21","Nutrimax","143.77","271"
"S106","Yogurt Delicias 569","020000021128","Frutas","2025-06-15","Delicias","81.86","331"
"S101","Refresco cola BuenSabor 681","020000018163","Snacks","2025-08-26","BuenSabor","39.41","-10"
"S081","Detergente Gourmet GT 817","020000052762","Higiene","2027-06-17","Gourmet GT","44.97","43"
"S052","Desodorante BuenSabor 211","020000030369","Lacteos","2025-11-03","BuenSabor","73.03","165"
"S105","Miel NaturVida 466","020000037215","Verduras","2026-08-25","NaturVida","75.21","441"
"S031","Refresco cola BioNatural 926","020000099922","Panaderia","2025-02-22","BioNatural","35.97","443"
"S084","Desodorante AguaPura 828","020000042534","Higiene","2027-02-21","AguaPura","83.13","351"
"S077","Pan blanco BioNatural 131","020000063004","Carnes","2027-06-16","BioNatural","89.84","286"
"S064","Miel Selecta 204","020000028322","Lacteos","2024-12-26","Selecta","11.74","404"
"S057","Desodorante DelCampo 943","020000062505","Higiene","2025-05-23","DelCampo","94.01","137"
"S020","Salami AguaPura 302","020000094670","Verduras","2025-08-22","AguaPura","16.53","438"
"S085","Miel FrescoMar 572","020000016637","Bebidas","2027-05-08","FrescoMar","131.83","207"
"S128","Salami Gourmet GT 799","020000065923","Bebidas","2026-11-26","Gourmet GT","35.93","100"
"S071","Pan blanco Selecta 252","020000014541","Frutas","2026-04-19","Selecta","104.27","260"
"S106","Jugo naranja NaturVida 590","020000017992","Lacteos","2026-06-27","NaturVida","62.52","219"
"S052","Pimienta NaturVida 355","020000092674","Congelados","2027-12-20","NaturVida","127.59","200"
"S183","Galletas Selecta 657","020000073527","Higiene","2027-09-26","Selecta","52.81","143"
"S047","Salami Delicias 711","020000038707","Embutidos","2026-06-30","Delicias","11.26","246"
"S136","Galletas BuenSabor 338","020000030922","Lacteos","2026-04-23","BuenSabor","105.78","141"
"S137","Arroz FrescoMar 882","020000038758","Frutas","2027-02-05","FrescoMar","58.06","434"
"S045","Pan integral DelCampo 706","020000051681","Congelados","2026-12-06","DelCampo","146.41","19"
"S181","Yogurt Delicias 681","020000083873","Bebidas","2025-12-22","Delicias","134.2","419"
"S127","Cereal Nutrimax 279","020000074282","Embutidos","2025-06-04","Nutrimax","10.87","313"
"S057","Salami NaturVida 589","020000010089","Higiene","2026-01-18","NaturVida","129.42","179"
"S184","Pan integral Delicias 160","020000012872","Bebidas","2025-09-18","Delicias","124.35","438"
"S135","Chuleta Delicias 174","020000058967","Cereales","2027-02-20","Delicias","94.59","177"
"S078","Pasta dental BioNatural 261","020000067261","Congelados","2025-13-45","BioNatural","104.57","94"
"S182","Cereal BuenSabor 905","020000056769","Conservas","2025-11-26","BuenSabor","61.78","380"
"S177","Frijoles refritos BioNatural 281","020000010235","Cereales","2027-02-11","BioNatural","136.42","399"
"S146","Crema BioNatural 716","020000051709","Condimentos","2026-02-27","BioNatural","103.06","58"
"S128","Desodorante Delicias 863","020000020198","Conservas","2026-11-12","Delicias","157.22","90"
"S163","Jugo naranja AguaPura 941","020000097821","Aceites","2026-10-20","AguaPura","72.57","140"
"S054","Mayonesa AguaPura 458","020000043640","Congelados","2025-07-11","AguaPura","115.83","29"
"S099","Brócoli Gourmet GT 270","020000064266","Verduras","2027-01-16","Gourmet GT","57.49","197"
"S026","Arroz Selecta 907","020000085766","Aceites","2026-03-08","Selecta","27.7","42"
"S009","Frijoles refritos FrescoMar 426","020000044226","Lacteos","2025-05-02","FrescoMar","56.01","459"
"S097","Pan integral AguaPura 660","020000022203","Higiene","2027-08-17","AguaPura","113.31","225"
"S168","Pan integral BuenSabor 544","020000030591","Embutidos","2025-06-27","BuenSabor","54.31","102"
"S105","Yogurt NaturVida 839","020000080795","Panaderia","2026-07-01","NaturVida","48.99","54"
"S013","Papas fritas BuenSabor 662","020000074349","Bebidas","2025-03-23","BuenSabor","59.01","223"
"S023","Frijoles refritos BuenSabor 591","020000036171","Lacteos","2025-01-23","BuenSabor","34.7","331"
"S075","Refresco cola Selecta 964","020000025139","Panaderia","2027-02-24","Selecta","76.41","463"
"S170","Pan blanco AguaPura 757","020000081319","Snacks","2025-12-15","AguaPura","60.62","200"
"S095","Pan integral Selecta 145","020000044510","Verduras","2027-07-12","Selecta","43.62","433"
"S069","Helado vainilla FrescoMar 254","020000097486","Lacteos","2025-05-26","FrescoMar","107.57","418"
"S139","Jabón BuenSabor 332","020000082561","Embutidos","2027-02-02","BuenSabor","131.31","219"
"S138","Queso Selecta 686","020000040886","Verduras","2026-08-06","Selecta","14.47","467"
"S183","Crema NaturVida 684","020000077740","Congelados","2025-09-29","NaturVida","21.0","392"
"S115","Pan integral BioNatural 316","020000035260","Bebidas","2025-02-27","BioNatural","68.89","354"
"S112","Tostadas BioNatural 954","020000087994","Panaderia","2026-09-17","BioNatural","145.91","473"
"S018","Refresco cola Gourmet GT 669","020000062082","Limpieza","2026-09-30","Gourmet GT","137.35","271"
"S118","Detergente FrescoMar 905","020000091665","Frutas","2027-11-07","FrescoMar"
"S107","Desodorante BioNatural 680","020000087061","Frutas","2025-06-25","BioNatural","148.14","293"
"S200","Miel Nutrimax 988","020000080206","Condimentos","2026-11-06","Nutrimax","140.71","140"
"S099","Pimienta Selecta 685","020000089817","Verduras","2025-02-16","Selecta","29.21","211"
"S037","Pechuga pollo BuenSabor 797","020000062654","Embutidos","2027-02-20","BuenSabor","142.55","174"
"S177","Mayonesa FrescoMar 863","020000072287","Condimentos","2026-06-05","FrescoMar","143.73","15"
"S087","Arroz Nutrimax 418","020000046745","Carnes","2027-09-04","Nutrimax","137.6","355"
"S026","Chuleta DelCampo 237","020000049384","Cereales","2027-05-28","DelCampo","124.3","169"
"S069","Agua mineral Gourmet GT 719","020000094614","Lacteos","2025-12-21","Gourmet GT","71.79","472"
"S105","Agua mineral Selecta 877","020000077698","Carnes","2027-01-06","Selecta","131.72","268"
"S041","Refresco cola Nutrimax 826","020000076426","Snacks","2025-09-05","Nutrimax","125.32","273"
"S146","Salami BioNatural 297","020000036309","Carnes","2025-03-30","BioNatural","41.42","238"
"S013","Detergente Delicias 821","020000036097","Panaderia","2026-12-26","Delicias","132.11","263"
"S102","Pimienta AguaPura 797","020000014005","Conservas","2027-01-03","AguaPura","79.23","233"
"S046","Chuleta Selecta 700","020000082264","Higiene","2026-11-07","Selecta","27.84","462"
"S067","Agua mineral AguaPura 391","020000013597","Snacks","2025-03-13","AguaPura","27.74","297"
"S200","Tostadas DelCampo 762","020000039505","Aceites","2026-01-29","DelCampo","44.52","214"
"S132","Salami FrescoMar 585","020000027342","Aceites","2025-11-21","FrescoMar","96.98","9"
"S058","Pan blanco BuenSabor 924","020000050037","Cereales","2026-06-18","BuenSabor","68.96","197"
"S090","Brócoli Nutrimax 323","020000071171","Panaderia","2027-11-03","Nutrimax","132.24","208"
"S150","Miel FrescoMar 623","020000096816","Carnes","2027-01-07","FrescoMar","90.71","309"
"S156","Frijoles refritos Nutrimax 800","020000024169","Verduras","2025-04-11","Nutrimax","55.13","146"
"S164","Pasta dental Nutrimax 367","020000095998","Cereales","2026-08-05","Nutrimax","31.76","269"
"S196","Mayonesa FrescoMar 924","020000088647","Snacks","2026-09-17","FrescoMar","109.56","374"
"S007","Pimienta Selecta 402","020000044003","Condimentos","2027-04-08","Selecta","65.93","382"
"S010","Helado vainilla BuenSabor 935","020000034892","Higiene","2026-03-02","BuenSabor","110.44","331"
"S122","Detergente Delicias 619","020000049347","Carnes","2025-11-15","Delicias","134.82","453"
"S143","Pan integral Nutrimax 199","020000071706","Bebidas","2026-05-15","Nutrimax","116.58","291"
"S196","Detergente BioNatural 796","020000053992","Aceites","2025-06-02","BioNatural","37.12","119"
"S191","Chuleta Nutrimax 530","020000053426","Higiene","2026-05-19","Nutrimax","94.52","242"
"S031","Manzana FrescoMar 987","020000093151","Frutas","2025-04-26","FrescoMar","76.61","104"
"S129","Miel Gourmet GT 642","020000049106","Snacks","2025-03-22","Gourmet GT","139.59","82"
"S036","Tostadas Delicias 519","020000084632","Condimentos","2027-06-27","Delicias","24.63","446"
"S184","Pan integral AguaPura 599","020000053598","Aceites","2025-11-29","AguaPura","51.52","34"
"S002","Brócoli Nutrimax 314","020000032099","Frutas","2025-10-22","Nutrimax","79.35","395"
"S200","Refresco cola BioNatural 729","020000066847","Aceites","2027-04-30","BioNatural","65.74","499"
"S123","Papas fritas FrescoMar 138","020000079963","Conservas","2027-01-05","FrescoMar","152.11","461"
"S083","Atún NaturVida 295","020000012348","Aceites","2024-12-10","NaturVida","101.02","132"
"S058","Yogurt Delicias 419","020000026899","Lacteos","2027-01-26","Delicias","81.53","161"
"S043","Refresco cola FrescoMar 405","020000048119","Verduras","2027-11-02","FrescoMar","96.23","177"
"S112","Jugo naranja BioNatural 450","020000074248","Higiene","2025-12-22","BioNatural","28.05","469"
"S104","Salami DelCampo 329","020000027197","Conservas","2025-01-15","DelCampo","95.17","91"
"S032","Galletas FrescoMar 484","020000093928","Panaderia","2027-12-02","FrescoMar","100.46","309"
"S013","Queso AguaPura 769","020000012587","Embutidos","2025-07-27","AguaPura","67.85","199"
"S032","Cereal Nutrimax 585","020000030070","Conservas","2024-12-21","Nutrimax","49.58","343"
"S026","Queso NaturVida 376","020000091631","Frutas","2025-09-08","NaturVida","68.17","465"
"S027","Aceite oliva BuenSabor 220","020000047054","Lacteos","2025-07-07","BuenSabor","80.64","316"
"S052","Atún Nutrimax 951","020000078569","Conservas","2026-12-05","Nutrimax","113.14","156"
"S042","Crema NaturVida 608","020000037222","Cereales","2027-08-13","NaturVida","54.24","6"
"S004","Queso AguaPura 213","020000085255","Aceites","2027-09-09","AguaPura","25.56","51"
"S200","Aceite oliva AguaPura 840","ABCDEF","Condimentos","2026-05-10","AguaPura","103.81","238"
"S076","Pan blanco Selecta 151","020000023082","Carnes","2025-11-24","Selecta","140.11","441"
"S075","Galletas Delicias 536","020000025191","Lacteos","2025-03-05","Delicias","3.53","75"
"S170","Pimienta BioNatural 436","020000056861","Condimentos","2027-05-17","BioNatural","152.9","142"
"S188","Refresco cola Delicias 934","020000054921","Bebidas","2025-07-23","Delicias","65.32","497"
"S117","Pan blanco Gourmet GT 806","020000072684","Congelados","2027-04-14","Gourmet GT","104.52","413"
"S043","Miel BioNatural 812","020000017686","Carnes","2025-10-24","BioNatural","18.39","471"
"S152","Manzana BuenSabor 794","020000067430","Bebidas","2027-01-18","BuenSabor","125.11","318"
"S008","Chuleta BioNatural 594","020000073979","Lacteos","2027-03-24","BioNatural","71.63","37"
"S067","Pimienta Delicias 112","020000098857","Limpieza","2026-03-05","Delicias","156.51","347"
"S087","Aceite oliva NaturVida 804","020000091033","Lacteos","2027-05-07","NaturVida","106.55","132"
"S124","Galletas Gourmet GT 252","020000083183","Condimentos","2025-03-23","Gourmet GT","3.84","483"
"S041","Aceite oliva Selecta 972","020000074990","Carnes","2025-11-05","Selecta","13.83","256"
"S083","Mayonesa Delicias 384","020000016599","Limpieza","2026-03-03","Delicias","88.98","198"
"S104","Arroz DelCampo 180","020000070174","Verduras","2027-06-07","DelCampo","15.91","260"
"S115","Pasta dental AguaPura 609","020000095638","Embutidos","2025-06-30","AguaPura","65.74","23"
"S143","Cereal FrescoMar 945","020000021913","Congelados","2026-08-17","FrescoMar","142.64","292"
"S053","Pimienta Selecta 449","020000057624","Carnes","2025-03-23","Selecta","131.02","437"
"S117","Pasta dental NaturVida 885","020000091232","Frutas","2027-07-28","NaturVida","115.23","191"
"S184","Brócoli AguaPura 199","020000096364","Conservas","2024-12-06","AguaPura","55.93","429"
"S163","Carne molida Nutrimax 660","020000078417","Higiene","2025-07-07","Nutrimax","9.23","89"
"S127","Desodorante Gourmet GT 209","020000043330","Frutas","2026-01-07","Gourmet GT","31.63","481"
"S101","Tostadas Selecta 944","020000034979","Cereales","2026-10-25","Selecta","19.03","217"
"S012","Detergente BuenSabor 226","020000069048","Verduras","2027-09-30","BuenSabor","23.27","260"
"S002","Aceite oliva FrescoMar 666","020000066729","Carnes","2027-08-18","FrescoMar","148.05","404"
"S046","Yogurt BuenSabor 277","020000026827","Lacteos","2027-02-03","BuenSabor","105.89","315"
"S083","Aceite oliva Gourmet GT 528","020000089822","Condimentos","2026-04-24","Gourmet GT","45.23","498"
"S088","Frijoles refritos Selecta 924","020000027481","Bebidas","2027-03-27","Selecta","97.2","458"
"S192","Aceite oliva Nutrimax 963","020000081802","Carnes","2026-09-05","Nutrimax","114.48","483"
"S142","Pimienta DelCampo 305","020000037487","Frutas","2026-07-20","DelCampo","110.48","476"
"S173","Desodorante BioNatural 615","020000081105","Cereales","2026-09-23","BioNatural","114.24","394"
"S091","Cereal Selecta 696","020000084794","Aceites","2027-04-05","Selecta","108.53","462"
"S137","Frijoles refritos Gourmet GT 927","020000011673","Limpieza","2025-07-08","Gourmet GT","5.99","79"
"S014","Queso FrescoMar 304","020000044993","Congelados","2025-10-27","FrescoMar","157.4","354"
"S065","Desodorante FrescoMar 807","020000048684","Conservas","2027-12-15","FrescoMar","7.1","421"
"S116","Miel BuenSabor 988","020000098542","Cereales","2026-03-06","BuenSabor","119.3","292"
"S100","Mayonesa NaturVida 903","020000047701","Cereales","2025-03-08","NaturVida","148.38","203"
"S107","Carne molida Delicias 665","020000017051","Embutidos","2026-04-30","Delicias","34.09","449"
"S200","Chuleta Selecta 949","020000039563","Condimentos","2026-12-25","Selecta","121.31","284"
"S190","Pechuga pollo DelCampo 894","020000035362","Panaderia","2027-06-09","DelCampo","30.03","354"
"S020","Pan integral BioNatural 852","020000077350","Lacteos","2027-01-13","BioNatural","8.42","147"
"S143","Pan blanco BioNatural 264","020000086544","Carnes","2026-05-08","BioNatural","2.89","243"
"S182","Detergente BioNatural 140","020000030146","Condimentos","2026-09-23","BioNatural","96.31","401"
"S161","Pechuga pollo Nutrimax 602","020000085061","Limpieza","2026-12-05","Nutrimax","13.52","367"
"S082","Aceite oliva DelCampo 288","020000078236","Lacteos","2027-10-02","DelCampo","27.18","283"
"S138","Papas fritas AguaPura 457","020000038992","Condimentos","2026-02-11","AguaPura","106.81","174"
"S093","Frijoles refritos DelCampo 870","020000091039","Limpieza","2027-08-01","DelCampo","159.47","426"
"S193","Pimienta FrescoMar 217","020000097679","Higiene","2027-06-02","FrescoMar","39.97","333"
"S158","Detergente BuenSabor 349","020000015226","Aceites","2026-09-20","BuenSabor","62.26","412"
"S030","Papas fritas Nutrimax 653","020000047070","Embutidos","2027-10-26","Nutrimax","131.89","196"
"S132","Carne molida NaturVida 556","020000073806","Embutidos","2026-08-01","NaturVida","-50.00","103"
"S083","Aceite oliva AguaPura 198","020000031940","Congelados","2027-12-08","AguaPura","86.25","325"
"S017","Tostadas DelCampo 985","020000099837","Snacks","2025-07-02","DelCampo","34.48","429"
"S180","Jugo naranja Gourmet GT 762","020000019452","Cereales","2025-10-12","Gourmet GT","5.75","372"
"S085","Crema AguaPura 175","020000017113","Bebidas","2026-05-01","AguaPura","90.18","299"
"S059","Detergente Nutrimax 517","020000060860","Verduras","2027-03-10","Nutrimax","70.42","13"
"S100","Queso AguaPura 647","020000010773","Aceites","2025-04-10","AguaPura","121.44","304"
"S012","Yogurt AguaPura 466","020000075907","Lacteos","2026-07-18","AguaPura","126.33","159"
"S156","Refresco cola Nutrimax 883","020000067367","Snacks","2027-02-19","Nutrimax","131.9","20"
"S122","Pan integral NaturVida 325","020000027875","Cereales","2027-02-10","NaturVida","127.89","439"
"S140","Frijoles refritos BioNatural 405","020000098773","Condimentos","2027-01-05","BioNatural","153.27","10"
"S142","Chuleta NaturVida 244","020000026152","Embutidos","2024-12-12","NaturVida","92.49","206"
"S138","Cereal AguaPura 412","020000037532","Cereales","2026-11-06","AguaPura","35.45","468"
"S166","Chuleta NaturVida 245","020000031096","Bebidas","2026-02-27","NaturVida","99.47","134"
"S050","Miel BioNatural 787","020000084356","Carnes","2025-03-23","BioNatural","136.52","482"
"S141","Brócoli NaturVida 174","020000048096","Aceites","2025-04-18","NaturVida","41.61","106"
"S186","Helado vainilla Selecta 438","020000056810","Bebidas","2026-03-27","Selecta","17.81","322"
"S018","Jugo naranja DelCampo 425","020000073682","Verduras","2026-10-05","DelCampo","99.38","161"
"S178","Helado vainilla BioNatural 679","020000084299","Higiene","2026-09-10","BioNatural","153.47","91"
"S002","Pasta dental DelCampo 904","020000039035","Cereales","2027-05-14","DelCampo","45.72","189"
"S035","Queso Delicias 998","020000072908","Verduras","2027-06-02","Delicias","58.68","161"
"S125","Cereal AguaPura 279","020000094613","Frutas","2025-05-18","AguaPura","135.0","444"
"S036","Jugo naranja NaturVida 301","020000044502","Cereales","2025-05-07","NaturVida","116.93","461"
"S005","Chuleta NaturVida 746","020000014088","Carnes","2027-03-11","NaturVida","123.53","113"
"S010","Cereal Nutrimax 656","020000080736","Verduras","2025-10-02","Nutrimax","59.8","119"
"S198","Helado vainilla Nutrimax 237","020000070909","Limpieza","2027-10-13","Nutrimax","16.31","191"
"S129","Salami DelCampo 968","020000090482","Aceites","2025-11-06","DelCampo","121.64","76"
"S115","Pan integral BioNatural 679","020000084162","Aceites","2025-09-27","BioNatural","118.28","252"
"S092","Crema DelCampo 879","020000073916","Conservas","2025-04-09","DelCampo","43.77","124"
"S011","Queso DelCampo 630","020000057349","Snacks","2027-07-21","DelCampo","147.03","456"
"S012","Crema Delicias 205","020000078337","Aceites","2026-06-15","Delicias","133.91","139"
"S149","Cereal BuenSabor 278","020000059369","Aceites","2027-01-16","BuenSabor","59.72","339"
"S020","Aceite oliva Nutrimax 485","020000039215","Limpieza","2027-03-13","Nutrimax","57.76","449"
"S089","Manzana Selecta 718","020000010864","Limpieza","2025-09-12","Selecta","71.5","122"
"S020","Aceite oliva Nutrimax 316","020000029692","Bebidas","2025-10-20","Nutrimax","59.23","372"
"S031","Queso DelCampo 524","020000053283","Cereales","2025-07-22","DelCampo","78.08","250"
"S123","Tostadas BuenSabor 265","020000094837","Carnes","2027-03-23","BuenSabor","5.55","27"
"S033","Helado vainilla BuenSabor 264","020000027658","Aceites","2027-10-17","BuenSabor","8.19","298"
"S038","Crema BioNatural 364","020000033597","Limpieza","2027-03-12","BioNatural","96.7","293"
"S164","Salami Nutrimax 187","020000038389","Verduras","2027-07-25","Nutrimax","139.03","92"
"S057","Arroz Gourmet GT 715","020000028705","Congelados","2025-12-09","Gourmet GT","100.47","266"
"S068","Pan integral Delicias 564","020000088188","Frutas","2025-04-21","Delicias","38.31","202"
"S034","Miel FrescoMar 307","020000078512","Carnes","2027-09-30","FrescoMar","110.13","428"
"S039","Pechuga pollo AguaPura 281","020000072373","Condimentos","2025-02-19","AguaPura","140.68","277"
"S129","Atún AguaPura 195","020000073208","Aceites","2025-08-25","AguaPura","144.51","281"
"S001","Jugo naranja Gourmet GT 634","020000065139","Higiene","2025-02-28","Gourmet GT","112.23","224"
"S059","Carne molida Selecta 908","020000059969","Higiene","2025-06-20","Selecta","69.23","135"
"S123","Atún DelCampo 979","020000020986","Panaderia","2027-12-20","DelCampo","66.57","101"
"S002","Yogurt FrescoMar 691","020000078490","Lacteos","2027-11-01","FrescoMar","3.14","340"
"S053","Yogurt Delicias 518","020000057483","Lacteos","2025-10-14","Delicias","69.32","304"
"S065","Pan blanco NaturVida 533","020000084012","Higiene","2026-06-19","NaturVida","158.7","mucho"
"S194","Tostadas Gourmet GT 665","020000083080","Verduras","2025-12-03","Gourmet GT","60.49","289"
"S124","Pan blanco Nutrimax 691","020000055135","Congelados","2027-02-25","Nutrimax","118.25","442"
"S169","Miel DelCampo 557","020000031206","Lacteos","2026-02-14","DelCampo","82.32","407"
"S087","Carne molida NaturVida 728","020000099727","Cereales","2025-03-18","NaturVida","27.4","498"
"S163","Salami AguaPura 943","020000029048","Verduras","2027-05-12","AguaPura","15.93","139"
"S057","Galletas AguaPura 723","020000014948","Cereales","2027-01-28","AguaPura","149.05","210"
"S158","Pimienta NaturVida 393","020000088311","Embutidos","2025-11-25","NaturVida","103.17","229"
"S003","Tostadas NaturVida 392","020000035525","Embutidos","2027-10-13","NaturVida","83.5","123"
"S158","Pan integral FrescoMar 468","020000041359","Aceites","2024-12-02","FrescoMar","156.15","49"
"S071","Atún Gourmet GT 461","020000097773","Snacks","2027-03-12","Gourmet GT","94.6","270"
"S004","Agua mineral AguaPura 192","020000082036","Panaderia","2026-11-14","AguaPura","56.9","422"
"S071","Mayonesa BuenSabor 299","020000069606","Condimentos","2027-03-09","BuenSabor","92.84","138"
"S045","Jabón NaturVida 209","020000083220","Lacteos","2027-09-28","NaturVida","48.49","489"
"S030","Carne molida NaturVida 363","020000080504","Carnes","2026-04-28","NaturVida","111.68","499"
"S097","Helado vainilla Selecta 888","020000041886","Congelados","2026-10-28","Selecta","153.88","239"
"S175","Brócoli BuenSabor 982","020000013584","Verduras","2025-07-28","BuenSabor","42.74","200"
"S163","Carne molida DelCampo 793","020000040137","Congelados","2026-09-09","DelCampo","67.16","185"
"S133","Cereal FrescoMar 817","020000044517","Conservas","2026-07-13","FrescoMar","16.7","349"
"S192","Arroz Delicias 177","020000082686","Condimentos","2025-12-02","Delicias","77.3","186"
"S056","Jugo naranja BuenSabor 375","020000033957","Cereales","2025-12-26","BuenSabor","80.84","107"
"S061","Agua mineral DelCampo 993","020000044787","Conservas","2026-03-16","DelCampo","34.04","132"
"S159","Galletas BioNatural 897","020000023983","Lacteos","2025-05-11","BioNatural","108.78","344"
"S127","Pechuga pollo FrescoMar 882","020000080972","Embutidos","2027-08-16","FrescoMar","60.65","166"
"S127","Jugo naranja BuenSabor 989","020000046009","Verduras","2025-12-11","BuenSabor","157.53","473"
"S131","Pan blanco Gourmet GT 327","020000085584","Bebidas","2025-03-22","Gourmet GT","85.07","221"
"S123","Cereal FrescoMar 614","020000055519","Snacks","2025-11-24","FrescoMar","74.24","66"
"S179","Aceite oliva Selecta 423","020000011103","Embutidos","2026-02-06","Selecta","61.95","56"
"S084","Galletas BuenSabor 982","020000044039","Bebidas","2027-12-30","BuenSabor","43.53","142"
"S121","Pechuga pollo Delicias 474","020000034105","Verduras","2027-04-19","Delicias","35.26","363"
"S193","Galletas Delicias 974","020000062506","Panaderia","2027-06-13","Delicias","30.42","72"
"S148","Queso DelCampo 933","020000023090","Cereales","2026-06-07","DelCampo","129.05","289"
"S111","Chuleta Gourmet GT 300","020000029116","Congelados","2025-10-04","Gourmet GT","76.73","9"
"S046","Jabón Selecta 237","020000092660","Limpieza","2027-11-30","Selecta","115.85","407"
"S125","Frijoles refritos Nutrimax 675","020000084427","Embutidos","2027-02-25","Nutrimax","17.64","88"
"S016","Tostadas Nutrimax 587","020000092557","Lacteos","2027-06-11","Nutrimax","119.65","138"
"S093","Galletas NaturVida 670","020000043779","Higiene","2025-01-11","NaturVida","67.06","184"
"S174","Pechuga pollo DelCampo 690","020000085483","Aceites","2027-12-09","DelCampo","29.58","404"
"S073","Galletas Delicias 789","020000076904","Verduras","2027-06-05","Delicias","142.56","200"
"S158","Frijoles refritos Selecta 746","020000028985","Carnes","2025-11-10","Selecta","103.21","480"
"S087","Jabón BuenSabor 685","020000063054","Carnes","2025-04-27","BuenSabor","14.5","180"
